,data_id,name,dummy_clf,dt_clf,most_similar_clf
0,3,kr-vs-kp,0.5222129303599374,0.9408607198748044,0.9843539710485132
0,3,kr-vs-kp,0.5222187989045384,0.9408675665101722,0.9846679381846636
0,6,letter,0.035350000000000006,0.37110000000000004,0.9446999999999999
0,11,balance-scale,0.44160000000000005,0.7776,0.8976000000000001
0,3,kr-vs-kp,0.5222173317683881,0.9408626760563381,0.9827895148669796
0,6,letter,0.03745,0.36875,0.9465
0,11,balance-scale,0.44320000000000004,0.7984,0.9056000000000001
0,12,mfeat-factors,0.0765,0.5814999999999999,0.9745000000000001
0,14,mfeat-fourier,0.0765,0.6115,0.8275
0,15,breast-w,0.6552415210688591,0.9470811921891057,0.9642651593011304
0,16,mfeat-karhunen,0.07999999999999999,0.6910000000000001,0.9730000000000001
0,18,mfeat-morphological,0.08449999999999999,0.6085,0.7175
0,22,mfeat-zernike,0.085,0.5850000000000001,0.8314999999999999
0,23,cmc,0.42700795572466277,0.5601083823359853,0.5343272224143895
0,28,optdigits,0.09128113879003559,0.6891459074733095,0.9857651245551601
0,29,credit-approval,0.555072463768116,0.8231884057971014,0.855072463768116
0,31,credit-g,0.7,0.711,0.7539999999999999
0,32,pendigits,0.09788964377471603,0.7888488480784343,0.994450534013103
0,37,diabetes,0.6510737628384687,0.7357439945675239,0.739572192513369
0,44,spambase,0.6059566633621299,0.8900285606382476,0.883300760043431
0,46,splice,0.5188087774294671,0.8868338557993731,0.8614420062695924
0,50,tic-tac-toe,0.6535122164048865,0.7850239965095985,0.8685318499127399
0,54,vehicle,0.23645666550643923,0.6773059519665854,0.754173337974243
0,151,electricity,0.5754546371286133,0.7706123980270723,0.7988170036016309
0,182,satimage,0.2334370139968896,0.82099533437014,0.9250388802488336
0,188,eucalyptus,0.29080713366427646,0.5053226696083838,0.6494576208861923
0,38,sick,0.9387587612205106,0.9838256012085653,0.9692437683348849
0,307,vowel,0.06262626262626263,0.5404040404040404,0.9151515151515153
0,300,isolet,0.028729214980016772,0.521223170671535,0.9651147185079193
0,458,analcatdata_authorship,0.3508030431107354,0.9322203437588052,0.9976190476190476
0,469,analcatdata_dmft,0.16187106918238992,0.19314465408805032,0.2007468553459119
0,554,mnist_784,0.11252857142857142,0.5328999999999999,0.8979714285714285
0,31,credit-g,0.7,0.6859999999999999,0.7489999999999999
0,32,pendigits,0.09852629679881789,0.8103143500168205,0.994177558580892
0,37,diabetes,0.6509803921568628,0.725244037008743,0.7747050335285629
0,44,spambase,0.6059524146721428,0.7811183496199783,0.8634912429778596
0,46,splice,0.5188087774294671,0.8890282131661442,0.8623824451410659
0,50,tic-tac-toe,0.6534031413612567,0.7860220331588132,0.8757798865619545
0,54,vehicle,0.22339018447615736,0.6867664462234597,0.7505464671075531
0,151,electricity,0.5754547101844996,0.7727975263666608,0.7986624806618026
0,182,satimage,0.23079315707620526,0.8152410575427684,0.9200622083981337
0,188,eucalyptus,0.29079794079794075,0.5626218054789482,0.6439786725501012
0,38,sick,0.9387601665290635,0.9798524426019288,0.9652677991111422
0,307,vowel,0.05656565656565656,0.5272727272727272,0.8676767676767676
0,300,isolet,0.029755020476636897,0.5271301458857585,0.9652430058716138
0,458,analcatdata_authorship,0.3769935193012116,0.9322978303747534,0.9976260918568611
0,469,analcatdata_dmft,0.1945047169811321,0.19196540880503146,0.21709119496855345
0,1049,pc4,0.8779268464906087,0.864195264322365,0.8971214046980182
0,1050,pc3,0.8976427459654296,0.8649873023674941,0.8995637748832637
0,1053,jm1,0.8065227377124483,0.8042259990813045,0.8076251722553973
0,1063,kc2,0.7948901098901099,0.7358058608058607,0.8275091575091575
0,1067,kc1,0.8454210804786617,0.842581981515462,0.8511139129357994
0,1068,pc1,0.9305246422893483,0.9053034935387876,0.9332273449920508
0,1590,adult,0.7607182173565632,0.8486753254897386,0.8497809367729523
0,4134,Bioresponse,0.5422529960053262,0.7547288060363959,0.7541929871282734
0,1510,wdbc,0.6274025772395591,0.9297158826269213,0.95960254618848
0,1489,phoneme,0.7065123171274883,0.8110675985884127,0.81347500599582
0,1494,qsar-biodeg,0.6625592417061611,0.8123222748815166,0.8777251184834123
0,1497,wall-robot-navigation,0.4041436260043042,0.9145860402963978,0.9329124740215482
0,1501,semeion,0.08223418307998659,0.6327832653141696,0.4815441335935806
0,1480,ilpd,0.7136604774535809,0.6450044208664899,0.7015915119363394
0,1485,madelon,0.49230769230769234,0.7669230769230768,0.586923076923077
0,1486,nomao,0.7143769041056144,0.9368924996373131,0.9613230813869142
0,1487,ozone-level-8hr,0.9368532248130912,0.9277732301143672,0.9451395872800553
0,1487,ozone-level-8hr,0.9368555636114163,0.9261961004435919,0.9431703190900516
0,1468,cnae-9,0.08425925925925926,0.4611111111111111,0.837037037037037
0,1475,first-order-theorem-proving,0.417458141610419,0.43887713166487635,0.5789528321549389
0,1462,banknote-authentication,0.5554399469143995,0.9679230258792302,0.9992700729927007
0,1464,blood-transfusion-service-center,0.7620313199105145,0.779364653243848,0.7780671140939597
0,4534,PhishingWebsites,0.5569425599276345,0.9227498869289914,0.9503392130257801
0,6332,cylinder-bands,0.5777777777777777,0.6907407407407407,0.712962962962963
0,1461,bank-marketing,0.8830151174059557,0.896927616323915,0.8992943322257201
0,4538,GesturePhaseSegmentationProcessed,0.2987941466918036,0.4823261898349429,0.6534985700178267
0,1478,har,0.18875639508291797,0.8863972990941971,0.9835908655818406
0,23381,dresses-sales,0.58,0.5439999999999999,0.576
0,40499,texture,0.07872727272727273,0.6441818181818182,0.9905454545454546
