,data_id,name,dummy_clf,dt_clf,d2v_clf,mfe_clf
0,3,kr-vs-kp,0.5222090179968701,0.9408602308294209,0.9852948943661971,0.9655795187793427
0,6,letter,0.03875,0.35714999999999997,0.94485,0.94485
0,11,balance-scale,0.4464,0.776,0.9120000000000001,0.9184000000000001
0,12,mfeat-factors,0.08600000000000001,0.5865,0.975,0.975
0,14,mfeat-fourier,0.08,0.605,0.8285,0.8285
0,15,breast-w,0.6552826310380268,0.9513874614594039,0.9642548818088386,0.9656628982528263
0,16,mfeat-karhunen,0.08399999999999999,0.7055,0.9745000000000001,0.9745000000000001
0,18,mfeat-morphological,0.078,0.6735,0.7060000000000001,0.731
0,22,mfeat-zernike,0.082,0.587,0.8355,0.8355
0,23,cmc,0.42702640378185175,0.546523694223452,0.5207148622160729,0.5410699873169607
0,28,optdigits,0.08647686832740213,0.654982206405694,0.9850533807829182,0.9850533807829182
0,29,credit-approval,0.5550724637681159,0.8347826086956521,0.8594202898550725,0.863768115942029
0,31,credit-g,0.7,0.725,0.754,0.76
0,32,pendigits,0.09679815583309645,0.8069486874876122,0.9949055758242331,0.9949055758242331
0,37,diabetes,0.6509888804006451,0.7291825821237585,0.7422205245734658,0.7422205245734658
0,44,spambase,0.605959259783789,0.8926297030637775,0.8252761648491717,0.9311037152433557
0,46,splice,0.5188087774294672,0.8868338557993731,0.8608150470219436,0.9426332288401253
0,50,tic-tac-toe,0.6533486038394416,0.7942953752181501,0.8799029232111693,0.769219022687609
0,54,vehicle,0.22690567351200838,0.6431117298990602,0.7671423599025409,0.7470727462582666
0,151,electricity,0.57545481246274,0.7686264054217402,0.7989714729671427,0.8090354789335681
0,182,satimage,0.23359253499222393,0.825194401244168,0.92099533437014,0.8986003110419908
0,188,eucalyptus,0.29078874793160503,0.544842801985659,0.6358429858429858,0.6358429858429858
0,38,sick,0.9387598152019253,0.9817081525462434,0.9700423349201609,0.9801187485727334
0,307,vowel,0.05555555555555556,0.5181818181818183,0.909090909090909,0.9393939393939394
