,data_id,name,dummy_clf,dt_clf,d2v_clf,mfe_clf,pfn_clf
0,3,kr-vs-kp,0.5222241784037559,0.9408587636932708,0.9827895148669796,0.96652093114241,0.9943671752738654
0,11,balance-scale,0.4176,0.768,0.8880000000000001,0.9023999999999999,0.8880000000000001
0,14,mfeat-fourier,0.084,0.622,0.8264999999999999,0.8264999999999999,0.8264999999999999
0,15,breast-w,0.6552106885919836,0.947070914696814,0.9613669064748201,0.9642548818088386,0.9613669064748201
0,16,mfeat-karhunen,0.0835,0.713,0.9754999999999999,0.9754999999999999,0.9754999999999999
0,18,mfeat-morphological,0.08,0.6545,0.6975,0.7155,0.6975
0,22,mfeat-zernike,0.078,0.579,0.8344999999999999,0.8344999999999999,0.8344999999999999
0,28,optdigits,0.0907473309608541,0.6400355871886122,0.9859430604982208,0.9859430604982208,0.9859430604982208
0,29,credit-approval,0.5550724637681158,0.8507246376811594,0.8623188405797102,0.8594202898550725,0.8376811594202899
0,28,optdigits,0.09092526690391459,0.6533807829181495,0.9861209964412812,0.9861209964412812,0.9861209964412812
0,29,credit-approval,0.555072463768116,0.8347826086956521,0.8608695652173914,0.855072463768116,0.8565217391304347
0,31,credit-g,0.7,0.7180000000000001,0.747,0.757,0.7379999999999999
0,32,pendigits,0.09825299033682695,0.8103145569104327,0.9944503271194906,0.9944503271194906,0.9944503271194906
0,37,diabetes,0.650963415669298,0.7382819794584501,0.7461590696884814,0.7461590696884814,0.7461590696884814
0,44,spambase,0.6059495822121512,0.89327998867016,0.7819994807156683,0.9304496530236511,0.9304496530236511
0,46,splice,0.5188087774294672,0.8880877742946709,0.8598746081504702,0.9398119122257054,0.9021943573667712
0,50,tic-tac-toe,0.6534740401396161,0.7786267452006981,0.8768160994764397,0.7818280977312392,0.8768160994764397
0,54,vehicle,0.22698224852071008,0.6571945701357467,0.7588722589627567,0.7317298990602158,0.7317298990602158
0,151,electricity,0.5754546030358666,0.7725327523539642,0.7999867549678551,0.8148171461093126,0.8142651601861102
0,182,satimage,0.23219284603421464,0.8172628304821151,0.9183514774494557,0.897822706065319,0.897822706065319
0,188,eucalyptus,0.29083471226328367,0.55711527854385,0.6222927008641295,0.6222927008641295,0.6019213090641663
0,38,sick,0.9387552479491278,0.9830337098389166,0.9719015581358583,0.9830358178017462,0.9840950691236143
0,458,analcatdata_authorship,0.3769442096365173,0.9251408847562693,0.9976190476190476,0.9976190476190476,0.9976190476190476
0,469,analcatdata_dmft,0.19449685534591193,0.19198899371069184,0.21454402515723267,0.2119889937106918,0.17319182389937104
0,1063,kc2,0.79507326007326,0.7951098901098901,0.8141575091575092,0.8141941391941392,0.8084065934065935
0,1590,adult,0.7607183011932731,0.8475697121106067,0.8497195200951981,0.8548585385467359,0.8548585385467359
0,1510,wdbc,0.6274491538580966,0.9402421984163949,0.9701599130569788,0.9596180717279925,0.9701599130569788
0,1489,phoneme,0.7065171137835338,0.8123602973926749,0.8103289135574057,0.8103289135574057,0.8871216637544113
0,1494,qsar-biodeg,0.6625592417061611,0.7952606635071089,0.8606635071090049,0.852132701421801,0.8293838862559241
0,1497,wall-robot-navigation,0.4041454726147668,0.9202690679317627,0.9492269417109014,0.8845270830605385,0.8845270830605385
0,1480,ilpd,0.713586796345417,0.6689065723548482,0.7153109342764515,0.7066018272914826,0.668921308576481
0,1487,ozone-level-8hr,0.9368540044125329,0.9238362529332429,0.9451419260783809,0.937248481730087,0.9419861075379469
0,1475,first-order-theorem-proving,0.41745399986105103,0.4429518114141269,0.5823783260919522,0.5004856535146083,0.5256604086169764
0,1462,banknote-authentication,0.5554054412740543,0.9723052422030525,0.9992700729927007,0.990518911745189,0.9992700729927007
0,1464,blood-transfusion-service-center,0.7619597315436242,0.7606085011185681,0.7713378076062639,0.7499328859060401,0.7419328859060401
0,4534,PhishingWebsites,0.5569425599276345,0.9212121212121213,0.949434644957033,0.9677069199457259,0.9376752600633198
0,6332,cylinder-bands,0.5777777777777777,0.7296296296296296,0.6796296296296296,0.7685185185185185,0.7962962962962963
0,1461,bank-marketing,0.8830151883393856,0.8972374266398517,0.8989183728174487,0.9086726122089199,0.896994112745458
0,4538,GesturePhaseSegmentationProcessed,0.2987951726879817,0.4905291831787927,0.6301017531709695,0.6308113321277878,0.6332405832788273
0,23381,dresses-sales,0.5799999999999998,0.5760000000000001,0.584,0.556,0.584
0,40668,connect-4,0.658303406837461,0.6785529905483675,0.827064663097792,,0.7655610504240585
0,40966,MiceProtein,0.12685185185185185,0.749074074074074,0.9981481481481481,0.9981481481481481,0.9981481481481481
0,40982,steel-plates-fault,0.3467270028887181,0.5074907905546869,0.43169639307767743,0.4177788673044815,0.7588967217024886
0,40994,climate-model-simulation-crashes,0.9148148148148149,0.9203703703703704,0.9222222222222222,0.9222222222222222,0.937037037037037
0,40983,wilt,0.9460634833813362,0.9799554727494936,0.9832616851983215,0.9789209192612407,0.9832616851983215
